Date,Description
2022-01-02,"['C491', 'C263', 'C3276', 'C1808', 'C425', 'C3677', 'C3323', 'C788', 'C54', 'C3500', 'C2749', 'C1382', 'C3716', 'C644', 'C1850', 'C822', 'C2611', 'C2487', 'C2636', 'C1435', 'C1934', 'C1751', 'C1281']"
2022-01-03,"['C2657', 'C272', 'C3272']"
2022-01-04,"['C3319', 'C1851', 'C263', 'C1808', 'C2481', 'C2969', 'C231', 'C2386', 'C3323', 'C788', 'C2661', 'C2214', 'C2204', 'C3087', 'C1571', 'C3500', 'C1830', 'C534', 'C2309', 'C2030', 'C3370', 'C2295', 'C1850', 'C1247', 'C587', 'C281', 'C2611', 'C2487', 'C720', 'C1751', 'C1281']"
2022-01-04,"['C3705', 'C767', 'C3051']"
2022-01-04,"['C1254', 'C1842', 'C985', 'C1492', 'C432', 'C2293', 'C280', 'C2173', 'C431', 'C103', 'C1147', 'C1801', 'C930', 'C3014', 'C2674', 'C3335', 'C823', 'C823', 'C823', 'C234', 'C1110', 'C380', 'C3067', 'C3108', 'C811', 'C416', 'C3304', 'C2017', 'C2669', 'C959', 'C3142', 'C1104', 'C1149', 'C277', 'C407', 'C1740', 'C2137', 'C3745', 'C3053', 'C2384', 'C1220', 'C1374', 'C2871']"
2022-01-05,"['C2686', 'C2591', 'C2882', 'C1696', 'C1392', 'C2770', 'C2438', 'C733', 'C2378', 'C440', 'C820', 'C3077', 'C264', 'C180', 'C2856', 'C569', 'C192', 'C3688', 'C1050', 'C2000', 'C850', 'C568', 'C495', 'C1215', 'C3458', 'C2972', 'C3039', 'C3523', 'C2991', 'C1726', 'C2222', 'C464', 'C173', 'C2271', 'C1088', 'C3175', 'C3347', 'C1599', 'C643', 'C332', 'C332', 'C3711', 'C1884', 'C2865', 'C1397', 'C1133', 'C1507', 'C949', 'C3315', 'C56']"
2022-01-05,"['C1237', 'C51', 'C577']"
2022-01-05,"['C3538', 'C201', 'C834']"
2022-01-05,"['C3319', 'C1081', 'C3677', 'C788', 'C2661', 'C54', 'C2214', 'C1471', 'C3500', 'C1382', 'C1322', 'C3716', 'C1973', 'C1567', 'C341', 'C1976', 'C1071', 'C1672', 'C1751', 'C450']"
2022-01-06,"['C115', 'C2041', 'C1176', 'C483', 'C2562', 'C2828', 'C313', 'C2511']"
2022-01-06,"['C337', 'C651', 'C1889', 'C3663', 'C3549', 'C1069', 'C2548', 'C2387', 'C2212', 'C603', 'C320', 'C317', 'C1079', 'C3134', 'C2447', 'C2163', 'C116', 'C2647', 'C2563', 'C3257', 'C2965', 'C1450', 'C1450', 'C1450', 'C2743', 'C1894', 'C1399', 'C2766', 'C572', 'C1199', 'C1109', 'C3194', 'C2255', 'C1603', 'C2291', 'C3212', 'C2001', 'C1897', 'C3187', 'C1814']"
2022-01-06,"['C2720', 'C745', 'C813', 'C2408', 'C2446', 'C752', 'C2937', 'C2178', 'C2328', 'C1187']"
